타임스탬프,몇학년이신가요!? (A),성별은요!? (A),학과(전공)가 어떻게 되세요? (A),취미가 어떻게 되세요!? (A),휴대폰을 주로 이용하는 시간대가 어떻게 되세요? (K),휴대폰을 하루에 몇시간정도 이용하나요? (K),"휴대폰으로 주로 무얼 하나요?(게임, SNS, 정보검색 등) (K)",자기 전 1시간 이내에 휴대폰을 이용하시나요? (K),여가시간에 전자기기를 제외하고 주로 무얼 하시나요? (K),학교 수업 외로 하루 평균 공부 시간은 얼마나 되시나요? (A),주로 집중적으로 공부하는 시간은 언제인가요? (A),취업 후 기대하는 연봉은 얼마인가요!? (A),학과(전공) 선택에 만족하시나요!? (A),전공 관련 취업 선호도는 어느정도인가요? (A),하루 평균 소셜 미디어 사용 시간은 얼마나 되나요? (A),집에서 학교까지 오는데 걸리는 시간은 어느정도인가요? (A),학업 스트레스는 어느정도인가요? (A),교우관계는 어떠신가요? (A),아르바이트를 하시나요!? (A),방과후 수업을 하시나요!? (A),
2023. 10. 12 오전 7:44:50,2학년,남,스마트,영상시청,,,,,,0-30,밤,4천 만원,O,9,1시간-2시간,10-30분,매우 없음,매우 좋음,O,O,
2023. 10. 12 오후 12:21:46,2학년,남자,창업마케팅과,운동,학교에서(9시~17시),3~5시간,SNS,한다,공부,1시간-2시간,방과후(저녁),3천만원,O,5,1시간-2시간,10-30분,2,3,X,O(아래 질문에 답변해주세요!),
2023. 10. 12 오후 12:21:49,2학년,남자,창업마케팅과,게임,학교에서(9시~17시),7~9시간,"영상 시청(유튜브, OTT)",한다,TV 보기,0-30분,기타,2500,O,5,2시간-3시간 이상,10-30분,3,2,X,O(아래 질문에 답변해주세요!),
2023. 10. 12 오후 12:23:07,3학년,남자,소프트웨어개발과,게임,학교에서(9시~17시),3~5시간,웹툰,한다,자기,0-30분,기타,3000,O,7,1시간-2시간,10-30분,2,1,X,X,
2023. 10. 12 오후 12:23:25,3학년,남자,소프트웨어개발과,게임,새벽에(00시~6시),5~7시간,커뮤니티,한다,"문화생활(영화, 뮤지컬 등)",0-30분,밤,3200,O,5,0-30분,10-30분,3,1,X,X,
2023. 10. 12 오후 12:23:28,2학년,남자,창업마케팅과,음악,학교에서(9시~17시),5~7시간,웹툰,한다,알바,0-30분,기타,123억,O,5,2시간-3시간 이상,1시간-2시간,1,1,O,X,
2023. 10. 12 오후 12:23:29,3학년,남자,소프트웨어개발과,게임,저녁에(17시~20시),3~5시간,SNS,한다,"문화생활(영화, 뮤지컬 등)",30분-1시간,기타,모름,X,5,30-1시간,10-30분,3,3,X,X,
2023. 10. 12 오후 12:23:29,3학년,남자,소프트웨어개발과,운동,밤에(20시~24시),3~5시간,"영상 시청(유튜브, OTT)",한다,스포츠 활동,1시간-2시간,밤,삼천만원,O,7,1시간-2시간,10-30분,1,3,X,X,
2023. 10. 12 오후 12:23:32,3학년,남자,소프트웨어개발과,게임,밤에(20시~24시),5~7시간,"영상 시청(유튜브, OTT)",한다,공부,1시간-2시간,방과후(저녁),3000만,O,5,30-1시간,10-30분,2,2,X,X,
2023. 10. 12 오후 12:23:49,2학년,여자,창업마케팅과,게임,밤에(20시~24시),7~9시간,SNS,한다,청소,0-30분,방과후(저녁),기대하니 않는다,X,2,0-30분,10-30분,3,3,X,X,
